,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
103963,roberda10,2017,1,TBA,AL,75,218,22,45,7,2,5,19.0,1.0,1.0,29,73.0,0.0,4.0,1.0,2.0,5.0
103964,robindr01,2017,1,TEX,AL,48,107,11,24,5,0,6,13.0,0.0,2.0,14,42.0,0.0,0.0,0.0,0.0,2.0
103983,rominan01,2017,1,DET,AL,124,318,45,74,17,2,4,25.0,6.0,4.0,22,67.0,0.0,4.0,2.0,2.0,7.0
103984,rominau01,2017,1,NYA,AL,80,229,19,50,9,1,2,21.0,0.0,0.0,16,57.0,0.0,2.0,2.0,3.0,7.0
103989,rosalad01,2017,1,OAK,AL,71,205,15,48,11,0,4,27.0,1.0,1.0,10,66.0,0.0,2.0,3.0,3.0,2.0
103993,rosared01,2017,1,MIN,AL,151,542,79,157,33,2,27,78.0,9.0,8.0,35,106.0,1.0,0.0,4.0,8.0,10.0
104002,ruary01,2017,1,TEX,AL,63,129,17,28,6,0,3,12.0,2.0,2.0,14,52.0,0.0,0.0,1.0,0.0,3.0
104005,ruizca01,2017,1,SEA,AL,54,125,14,27,8,0,3,11.0,1.0,0.0,14,38.0,0.0,4.0,1.0,1.0,4.0
104012,rutlejo01,2017,1,BOS,AL,37,107,10,24,2,1,0,9.0,1.0,0.0,9,31.0,0.0,2.0,0.0,0.0,1.0
104017,saladty01,2017,1,CHA,AL,79,253,23,45,9,2,0,10.0,5.0,4.0,23,67.0,0.0,3.0,2.0,0.0,5.0
104028,sanchca01,2017,1,CHA,AL,141,484,63,129,19,8,12,59.0,8.0,9.0,35,111.0,2.0,4.0,7.0,4.0,10.0
104029,sanchga02,2017,1,NYA,AL,122,471,79,131,20,0,33,90.0,2.0,1.0,40,120.0,1.0,10.0,0.0,4.0,9.0
104034,sanomi01,2017,1,MIN,AL,114,424,75,112,15,2,28,77.0,0.0,0.0,54,173.0,5.0,4.0,0.0,1.0,12.0
104036,santaca01,2017,1,CLE,AL,154,571,90,148,37,3,23,79.0,5.0,1.0,88,94.0,6.0,6.0,0.0,2.0,11.0
104053,schoojo01,2017,1,BAL,AL,160,622,92,182,35,0,32,105.0,1.0,0.0,35,142.0,0.0,11.0,0.0,7.0,20.0
