,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
68091,melvibo01,1990,1,BAL,AL,93,301,30,73,14,1,5,37.0,0.0,1.0,11,53.0,1.0,0.0,3.0,3.0,8.0
68102,millira01,1990,1,BAL,AL,109,362,64,96,20,1,20,60.0,6.0,3.0,88,68.0,3.0,2.0,0.0,4.0,11.0
68110,molitpa01,1990,1,ML4,AL,103,418,64,119,27,6,12,45.0,18.0,3.0,37,51.0,4.0,1.0,0.0,2.0,7.0
68121,mosebll01,1990,1,DET,AL,122,431,64,107,16,5,14,51.0,17.0,5.0,48,77.0,3.0,5.0,1.0,2.0,14.0
68122,mosesjo01,1990,1,MIN,AL,115,172,26,38,3,1,1,14.0,2.0,3.0,19,19.0,1.0,2.0,0.0,2.0,4.0
68133,myersgr01,1990,1,TOR,AL,87,250,33,59,7,1,5,22.0,0.0,1.0,22,33.0,0.0,0.0,1.0,4.0,12.0
68142,newmaal01,1990,1,MIN,AL,144,388,43,94,14,0,0,30.0,13.0,6.0,33,34.0,0.0,2.0,8.0,2.0,7.0
68152,nokesma01,1990,1,DET,AL,44,111,12,30,5,1,3,8.0,0.0,0.0,4,14.0,3.0,2.0,0.0,1.0,5.0
68153,nokesma01,1990,2,NYA,AL,92,240,21,57,4,0,8,32.0,2.0,2.0,20,33.0,3.0,4.0,0.0,0.0,6.0
68161,obriech01,1990,1,ML4,AL,46,145,11,27,7,2,0,11.0,0.0,0.0,11,26.0,1.0,2.0,8.0,0.0,3.0
68163,obriepe03,1990,1,SEA,AL,108,366,32,82,18,0,5,27.0,0.0,0.0,44,33.0,1.0,2.0,1.0,4.0,12.0
68167,olerujo01,1990,1,TOR,AL,111,358,43,95,15,1,14,48.0,0.0,2.0,57,75.0,6.0,1.0,1.0,4.0,5.0
68180,orsuljo01,1990,1,BAL,AL,124,413,49,111,14,3,11,57.0,6.0,8.0,46,48.0,9.0,1.0,4.0,1.0,7.0
68182,ortizju01,1990,1,MIN,AL,71,170,18,57,7,1,0,18.0,0.0,4.0,12,16.0,0.0,2.0,2.0,1.0,4.0
68192,palmera01,1990,1,TEX,AL,154,598,72,191,35,6,14,89.0,3.0,3.0,40,59.0,6.0,3.0,2.0,8.0,24.0
68199,parkeda01,1990,1,ML4,AL,157,610,71,176,30,3,21,92.0,4.0,7.0,41,102.0,11.0,4.0,0.0,14.0,18.0
68203,parrila02,1990,1,CAL,AL,133,470,54,126,14,0,24,70.0,2.0,2.0,46,107.0,4.0,5.0,0.0,2.0,12.0
68204,pasquda01,1990,1,CHA,AL,112,325,43,89,27,3,13,58.0,1.0,1.0,37,66.0,7.0,2.0,0.0,5.0,4.0
68208,pecotbi01,1990,1,KCA,AL,87,240,43,58,15,2,5,20.0,8.0,5.0,33,39.0,0.0,1.0,6.0,0.0,5.0
68211,penato01,1990,1,BOS,AL,143,491,62,129,19,1,7,56.0,8.0,6.0,43,71.0,3.0,1.0,2.0,3.0,23.0
68217,perryge01,1990,1,KCA,AL,133,465,57,118,22,2,8,57.0,17.0,4.0,39,56.0,4.0,3.0,0.0,5.0,14.0
68220,petrage01,1990,1,TEX,AL,133,325,28,83,13,1,0,21.0,0.0,2.0,50,49.0,3.0,3.0,1.0,3.0,12.0
68222,pettiga01,1990,1,TEX,AL,136,423,66,101,16,8,3,31.0,38.0,15.0,57,118.0,0.0,4.0,11.0,3.0,6.0
68225,phillto02,1990,1,DET,AL,152,573,97,144,23,5,8,55.0,19.0,9.0,99,85.0,0.0,4.0,9.0,2.0,10.0
68232,polonlu01,1990,2,CAL,AL,109,381,50,128,7,9,2,32.0,20.0,14.0,25,42.0,1.0,1.0,3.0,3.0,8.0
68241,puckeki01,1990,1,MIN,AL,146,551,82,164,40,3,12,80.0,5.0,4.0,57,73.0,11.0,3.0,1.0,3.0,15.0
68245,quintca01,1990,1,BOS,AL,149,512,56,147,28,0,7,67.0,1.0,2.0,52,74.0,0.0,2.0,4.0,2.0,19.0
68246,quirkja01,1990,1,OAK,AL,56,121,12,34,5,1,3,26.0,0.0,0.0,14,34.0,1.0,1.0,5.0,3.0,1.0
68253,randowi01,1990,2,OAK,AL,93,292,37,75,9,3,1,21.0,6.0,1.0,32,25.0,1.0,1.0,7.0,1.0,11.0
68255,rayjo01,1990,1,CAL,AL,105,404,47,112,23,0,5,43.0,2.0,3.0,19,44.0,2.0,0.0,3.0,3.0,10.0
68263,reedjo01,1990,1,BOS,AL,155,598,70,173,45,0,5,51.0,4.0,4.0,75,65.0,4.0,4.0,11.0,3.0,19.0
68265,reimeke01,1990,1,TEX,AL,64,100,5,26,9,1,2,15.0,0.0,1.0,10,22.0,0.0,1.0,0.0,0.0,3.0
68268,reynoha01,1990,1,SEA,AL,160,642,100,162,36,5,5,55.0,31.0,16.0,81,52.0,3.0,3.0,5.0,6.0,9.0
68277,ripkebi01,1990,1,BAL,AL,129,406,48,118,28,1,3,38.0,5.0,2.0,28,43.0,2.0,4.0,17.0,1.0,7.0
68278,ripkeca01,1990,1,BAL,AL,161,600,78,150,28,4,21,84.0,3.0,1.0,82,66.0,18.0,5.0,1.0,7.0,12.0
68280,riverlu01,1990,1,BOS,AL,118,346,38,78,20,0,7,45.0,4.0,3.0,25,58.0,0.0,1.0,12.0,1.0,10.0
68297,rominke01,1990,1,BOS,AL,70,136,21,37,7,0,2,14.0,4.0,0.0,12,27.0,0.0,1.0,0.0,2.0,7.0
68309,russejo02,1990,1,TEX,AL,68,128,16,35,4,0,2,8.0,1.0,0.0,11,41.0,2.0,0.0,1.0,0.0,3.0
68314,salasma01,1990,1,DET,AL,74,164,18,38,3,0,9,24.0,0.0,0.0,21,28.0,2.0,1.0,1.0,0.0,3.0
68320,sandede02,1990,1,NYA,AL,57,133,24,21,2,2,3,9.0,8.0,2.0,13,27.0,0.0,1.0,1.0,1.0,2.0
68328,saxst01,1990,1,NYA,AL,155,615,70,160,24,2,4,42.0,43.0,9.0,49,46.0,3.0,4.0,6.0,6.0,13.0
68329,schaeje01,1990,1,SEA,AL,55,107,11,22,3,0,0,6.0,4.0,1.0,3,11.0,0.0,2.0,2.0,1.0,1.0
68335,schofdi02,1990,1,CAL,AL,99,310,41,79,8,1,1,18.0,3.0,4.0,52,61.0,3.0,2.0,13.0,2.0,3.0
68339,schuri01,1990,1,CAL,AL,61,157,19,42,8,0,6,14.0,0.0,0.0,11,25.0,0.0,0.0,0.0,1.0,4.0
68348,seguida01,1990,1,BAL,AL,40,123,14,30,7,0,2,15.0,0.0,0.0,11,15.0,2.0,1.0,1.0,0.0,12.0
68349,seitzke01,1990,1,KCA,AL,158,622,91,171,31,5,6,38.0,7.0,5.0,67,66.0,2.0,2.0,4.0,2.0,11.0
68352,sheetla01,1990,1,DET,AL,131,360,40,94,17,2,10,52.0,1.0,3.0,24,42.0,2.0,2.0,0.0,4.0,13.0
68353,sheffga01,1990,1,ML4,AL,125,487,67,143,30,1,10,67.0,25.0,10.0,44,41.0,1.0,3.0,4.0,9.0,11.0
68355,shelbjo01,1990,2,DET,AL,78,222,22,55,9,3,4,20.0,3.0,5.0,10,51.0,0.0,0.0,6.0,0.0,6.0
68359,sierrru01,1990,1,TEX,AL,159,608,70,170,37,2,16,96.0,9.0,0.0,49,86.0,13.0,1.0,0.0,8.0,15.0
68363,skinnjo01,1990,1,CLE,AL,49,139,16,35,4,1,2,16.0,0.0,0.0,7,44.0,0.0,0.0,0.0,0.0,2.0
68381,snydeco02,1990,1,CLE,AL,123,438,46,102,27,3,14,55.0,1.0,4.0,21,118.0,3.0,2.0,1.0,6.0,11.0
68383,sorrepa01,1990,1,MIN,AL,41,121,11,25,4,1,5,13.0,1.0,1.0,12,31.0,0.0,1.0,0.0,1.0,3.0
68384,sosasa01,1990,1,CHA,AL,153,532,72,124,26,10,15,70.0,32.0,16.0,33,150.0,4.0,6.0,2.0,6.0,10.0
